A1,false,false
A2,false,false
A3,true,false
A4,true,false
A5,false,false
A6,true,false
A7,true,false
A8,true,false
B1,false,false
B2,false,false
B3,true,false
B4,true,false
B5,false,false
B6,true,false
B7,true,false
B8,true,false
C1,false,false
C2,false,false
C3,true,false
C4,true,false
C5,false,false
C6,true,false
C7,true,false
C8,true,false
D1,false,false
D2,false,false
D3,true,false
D4,true,false
D5,false,false
D6,true,false
D7,true,false
D8,true,false
E1,true,false
E2,true,false
E3,true,false
E4,true,false
E5,false,false
E6,true,false
E7,true,false
E8,true,false
F1,true,false
F2,true,false
F3,true,false
F4,true,false
F5,false,false
F6,true,false
F7,true,false
F8,true,false
G1,true,false
G2,true,false
G3,true,false
G4,true,false
G5,false,false
G6,true,false
G7,true,false
G8,true,false
H1,true,false
H2,true,false
H3,true,false
H4,true,false
H5,false,false
H6,true,false
H7,true,false
H8,true,false
I1,true,false
I2,true,false
I3,true,false
I4,true,false
I5,false,false
I6,true,false
I7,true,false
I8,true,false
J1,true,false
J2,true,false
J3,true,false
J4,true,false
J5,false,false
J6,true,false
J7,true,false
J8,true,false
