3,12/11/2022,09:30,EEEEEEEEEEEEEEEEEEEE
3,12/11/2022,12:30,EEEEEEEEEEEEEEEEEEEE
3,12/11/2022,15:30,EEEEEEEEEEEEEEEEEEEE
4,12/11/2022,18:30,EEEEEEEEEEEEEEEEEEEE
4,12/11/2022,21:30,EEEEEEEEEEEEEEEEEEEE
4,12/11/2022,23.30,EEEEEEEEEEEEEEEEEEEE
3,13/11/2022,09:30,EEEEEEEEEEEEEEEEEEEE
3,13/11/2022,12:30,EEEEEEEEEEEEEEEEEEEE
3,13/11/2022,15:30,EEEEEEEEEEEEEEEEEEEE
4,13/11/2022,18:30,EEEEEEEEEEEEEEEEEEEE
4,13/11/2022,21:30,EEEEEEEEEEEEEEEEEEEE
4,13/11/2022,23.30,EEEEEEEEEEEEEEEEEEEE
3,14/11/2022,09:30,EEEEEEEEEEEEEEEEEEEE
3,14/11/2022,12:30,EEEEEEEEEEEEEEEEEEEE
3,14/11/2022,15:30,EEEEEEEEEEEEEEEEEEEE
4,14/11/2022,18:30,EEEEEEEEEEEEEEEEEEEE
4,14/11/2022,21:30,EEEEEEEEEEEEEEEEEEEE
4,14/11/2022,23.30,EEEEEEEEEEEEEEEEEEEE
