movieId,date,time,seats
1,12/11/2022,09:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
1,12/11/2022,12:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
1,12/11/2022,15:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
3,12/11/2022,18:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
3,12/11/2022,21:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
3,12/11/2022,23:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
1,13/11/2022,09:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
1,13/11/2022,12:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
1,13/11/2022,15:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
3,13/11/2022,18:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
3,13/11/2022,21:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
3,13/11/2022,23:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
1,14/11/2022,09:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
1,14/11/2022,12:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
1,14/11/2022,15:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
3,14/11/2022,18:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
3,14/11/2022,21:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
3,14/11/2022,23:30,XXXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEEEEXEEEEEEXEE
